user_id,track_id,rate
"1","4186","3"
"1","7188","5"
"1","2089","1"
"1","1797","1"
"1","1109","4"
"1","1323","3"
"1","1492","1"
"1","3363","4"
"1","6811","1"
"1","1931","3"
"1","5167","2"
"1","2065","1"
"1","787","4"
"2","4888","3"
"2","6235","5"
"2","2490","3"
"2","4506","5"
"2","6943","3"
"2","2900","2"
"2","3973","3"
"2","2412","5"
"2","5083","3"
"2","6624","3"
"2","5886","2"
"2","1991","4"
"3","4430","4"
"3","3331","5"
"3","6408","5"
"4","1333","3"
"4","108","4"
"4","1828","1"
"4","5004","4"
"4","1541","4"
"4","6430","2"
"4","1436","2"
"4","5939","2"
"4","3163","4"
"4","3705","5"
"4","1693","4"
"4","1950","3"
"4","1340","4"
"4","1227","3"
"4","4800","1"
"4","5608","2"
"4","1158","4"
"4","4830","5"
"4","2507","2"
"5","5152","2"
"6","6246","3"
"6","2555","2"
"6","2118","2"
"6","6248","1"
"6","2284","2"
"6","2267","3"
"6","6559","2"
"6","3285","5"
"6","3967","1"
"6","5267","3"
"6","1230","1"
"6","2383","5"
"6","3517","5"
"6","5729","1"
"6","2203","2"
"6","4966","2"
"6","7263","5"
"6","107","2"
"6","6068","5"
"6","2130","4"
"6","4502","4"
"6","1725","2"
"6","4962","3"
"6","2","2"
"6","6773","1"
"6","3269","5"
"6","4888","5"
"6","6926","3"
"7","3178","1"
"7","98","2"
"7","919","3"
"7","282","3"
"7","7036","5"
"7","1938","3"
"7","2779","4"
"7","5489","5"
"7","924","3"
"7","773","4"
"7","6656","1"
"7","6067","5"
"7","5640","1"
"7","4156","1"
"7","6789","4"
"7","1498","4"
"7","3168","4"
"7","2551","2"
"7","2679","2"
"7","5810","4"
"8","2377","4"
"8","656","5"
"8","2910","3"
"8","6519","1"
"8","1636","3"
"8","4329","5"
"8","1694","5"
"8","4921","4"
"8","1239","3"
"8","1448","3"
"8","5180","4"
"8","6792","3"
"8","960","4"
"8","3103","2"
"8","5422","5"
"8","6521","1"
"8","6979","4"
"9","3787","3"
"9","5299","4"
"9","5009","5"
"9","3889","3"
"9","5727","1"
"9","3205","3"
"9","3757","3"
"9","6454","5"
"9","3090","5"
"10","449","4"
"10","4171","5"
"10","1166","1"
"10","7062","3"
"11","2179","3"
"11","7242","4"
"11","5596","4"
"11","2","3"
"11","3174","1"
"11","5826","3"
"11","2415","5"
"13","613","1"
"13","4260","4"
"13","4912","4"
"13","2847","2"
"13","1257","4"
"14","4157","3"
"14","3324","5"
"14","5437","3"
"14","5680","1"
"14","5403","5"
"14","1090","1"
"14","6907","3"
